#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) 
16 5.245209 7.152557 9.536743 9.059906 10.490417 12.397766 13.589859 8.583069 7.152557 9.298325 10.728836 10.013580 11.444092 11.682510 12.636185 8.344650 
16 17.881393 28.848648 20.980835 30.994415 20.980835 34.332275 24.080276 30.994415 18.358231 31.232834 21.219254 32.424927 22.172928 34.332275 24.318695 30.279160 
16 9.775162 12.159348 14.305115 14.066696 4.053116 17.166138 17.404556 13.113022 11.920929 18.358231 19.788742 14.781952 16.450882 16.450882 17.166138 28.371811 
16 5.483627 12.159348 15.020370 13.589859 23.365021 16.927719 18.835068 13.589859 5.483627 13.828278 30.517578 15.020370 10.013580 15.974045 18.358231 12.636185 
16 5.722046 5.960464 9.775162 8.344650 8.583069 10.251999 12.874603 7.629395 6.198883 7.152557 8.583069 9.059906 10.251999 10.967255 12.874603 7.152557 
16 5.483627 9.059906 11.682510 9.775162 19.550323 13.828278 15.735626 9.298325 5.722046 10.728836 12.159348 10.728836 22.649765 14.781952 15.497208 8.583069 
16 4.768372 5.483627 9.536743 7.390976 9.298325 10.967255 14.066696 7.629395 8.106232 7.390976 10.251999 9.298325 11.682510 11.205673 13.828278 7.629395 
16 5.245209 7.390976 10.251999 9.298325 9.298325 11.920929 13.589859 9.536743 7.152557 9.536743 10.967255 10.967255 10.251999 12.397766 13.589859 8.821487 
16 5.483627 20.742416 9.059906 22.888184 9.059906 25.749207 12.397766 22.411346 7.152557 21.934509 9.536743 23.603439 10.967255 25.033951 11.682510 21.934509 
16 5.483627 6.914139 9.059906 8.583069 10.013580 11.920929 12.874603 8.344650 6.914139 8.106232 9.775162 9.775162 11.444092 11.205673 11.920929 8.106232 
16 5.722046 6.914139 9.775162 8.583069 10.251999 12.636185 13.589859 8.344650 7.152557 8.344650 9.536743 10.251999 12.397766 11.682510 12.874603 8.344650 
16 5.483627 6.437302 9.298325 7.867813 9.536743 11.444092 13.113022 7.152557 6.675720 7.629395 9.536743 8.821487 10.967255 10.967255 12.159348 6.198883 
16 5.722046 21.219254 23.841858 22.888184 8.583069 26.702881 27.656555 22.888184 7.152557 22.411346 23.841858 24.318695 10.013580 25.987625 26.702881 22.172928 
16 189.065933 150.203705 192.880630 152.111053 166.654587 181.674957 196.456909 151.872635 164.031982 151.872635 166.416168 180.244446 194.787979 181.913376 195.503235 151.395798 
16 5.483627 20.742416 22.888184 22.649765 10.967255 25.510788 26.226044 22.888184 8.106232 22.411346 24.080276 23.603439 12.159348 25.272369 25.987625 22.411346 
16 5.245209 7.867813 10.490417 10.013580 10.251999 12.874603 13.351440 9.298325 7.629395 9.298325 10.490417 10.728836 11.444092 12.397766 13.589859 8.344650 
16 5.006790 6.675720 8.821487 9.059906 10.013580 11.205673 12.397766 8.344650 7.390976 7.867813 9.775162 9.059906 10.728836 10.728836 11.920929 7.867813 
16 5.245209 6.675720 8.821487 8.821487 4.291534 11.444092 12.159348 8.344650 7.152557 36.239624 37.431717 9.298325 0.476837 11.682510 11.444092 7.867813 
16 5.245209 3.099442 8.821487 46.014786 46.968460 9.775162 11.444092 45.537949 44.345856 5.006790 46.968460 8.344650 9.775162 10.013580 11.920929 45.537949 
16 5.483627 6.675720 8.821487 7.867813 9.298325 11.205673 11.444092 7.390976 6.437302 8.106232 9.059906 8.344650 9.775162 10.251999 11.444092 7.152557 
16 5.245209 6.675720 9.536743 8.583069 10.251999 12.159348 12.636185 8.106232 7.152557 8.106232 9.775162 10.013580 11.682510 11.682510 12.397766 7.867813 
16 5.722046 6.914139 9.536743 8.583069 9.536743 12.159348 13.113022 9.059906 7.390976 8.583069 9.775162 10.490417 10.967255 12.397766 12.874603 8.344650 
16 5.722046 48.875809 51.736832 51.021576 38.385391 53.882599 54.597855 50.544739 5.960464 50.306320 51.975250 51.975250 39.815903 54.359436 54.597855 49.829483 
16 5.245209 6.675720 10.251999 9.298325 10.013580 3.814697 14.066696 10.013580 8.106232 9.059906 11.205673 12.397766 13.351440 3.337860 13.113022 9.298325 
16 18.119812 160.217285 174.760818 162.363052 174.522400 177.621841 178.337097 162.124634 6.437302 165.462494 174.760818 175.952911 176.191330 177.383423 177.145004 161.886215 
16 5.245209 5.483627 12.159348 7.629395 15.497208 10.490417 14.781952 13.828278 5.960464 6.198883 18.358231 8.344650 10.251999 9.536743 14.066696 13.589859 
16 5.483627 25.510788 4.529953 28.371811 8.583069 42.200089 71.287155 29.563904 6.198883 27.179718 0.476837 51.498413 31.948090 105.142593 70.095062 29.563904 
16 5.960464 138.998032 142.574310 141.382217 72.002411 253.200531 145.673752 140.666962 6.198883 203.132629 204.801559 250.816345 118.970871 144.243240 145.912170 140.428543 
16 5.245209 22.411346 9.059906 20.742416 9.059906 26.941299 12.397766 24.318695 5.960464 24.080276 9.059906 22.172928 9.775162 26.941299 11.682510 23.841858 
16 5.245209 6.914139 9.775162 8.821487 8.344650 11.682510 13.351440 8.106232 6.914139 8.344650 9.298325 10.490417 9.775162 11.205673 12.397766 7.629395 
16 5.245209 7.390976 10.251999 8.821487 10.013580 12.636185 13.351440 8.583069 7.152557 9.059906 10.251999 10.013580 11.444092 12.159348 12.874603 8.344650 
16 5.483627 13.113022 15.258789 15.497208 16.450882 17.881393 18.596649 15.258789 6.437302 15.497208 16.450882 15.974045 16.689301 17.642975 17.881393 14.543533 
16 4.768372 21.219254 22.888184 20.980835 12.159348 25.987625 26.702881 20.265579 5.722046 23.365021 23.126602 21.457672 12.874603 25.749207 34.570694 20.265579 
16 5.245209 15.258789 16.927719 38.385391 17.642975 20.265579 20.503998 38.385391 28.133392 16.689301 17.166138 18.358231 19.073486 20.265579 4.053116 37.431717 
16 5.245209 6.675720 10.490417 8.344650 9.775162 11.682510 13.828278 8.583069 7.152557 8.344650 10.251999 9.775162 11.682510 11.682510 13.589859 7.629395 
16 5.245209 34.809113 8.821487 36.716461 9.298325 39.815903 11.920929 36.716461 6.675720 36.239624 9.059906 37.908554 10.967255 39.100647 11.444092 36.478043 
16 5.483627 7.629395 10.490417 10.013580 10.967255 12.636185 13.828278 9.298325 8.344650 8.344650 10.251999 10.490417 12.397766 12.636185 13.113022 9.059906 
16 5.483627 6.914139 9.536743 8.821487 10.013580 12.397766 12.636185 8.583069 7.390976 8.821487 10.013580 10.013580 11.682510 11.920929 12.159348 7.867813 
16 5.722046 8.344650 10.967255 10.967255 9.775162 13.113022 14.781952 10.490417 7.152557 10.251999 11.205673 12.397766 11.682510 13.113022 14.543533 10.251999 
16 5.245209 5.960464 10.013580 7.629395 10.490417 11.920929 13.351440 6.914139 5.483627 7.152557 10.251999 8.344650 11.920929 10.728836 13.113022 7.152557 
16 5.722046 7.152557 10.490417 9.775162 9.775162 12.636185 14.305115 10.013580 8.106232 9.059906 10.251999 11.682510 12.636185 12.874603 13.828278 9.536743 
16 6.675720 8.583069 10.967255 10.251999 11.205673 13.828278 14.066696 9.536743 8.344650 9.536743 10.967255 11.205673 12.874603 13.351440 13.589859 9.775162 
16 5.245209 6.437302 9.298325 8.583069 9.536743 11.920929 12.636185 7.867813 7.152557 7.867813 34.332275 9.298325 11.205673 11.444092 12.159348 7.629395 
16 9.298325 6.914139 10.490417 9.059906 8.344650 12.397766 14.543533 9.298325 7.390976 9.059906 9.536743 10.251999 9.536743 11.682510 13.589859 8.821487 
16 5.245209 6.675720 9.775162 8.106232 10.013580 12.397766 13.113022 8.106232 6.914139 8.344650 9.536743 9.775162 11.682510 12.159348 12.397766 7.629395 
16 24.795532 6.675720 28.848648 9.059906 10.013580 31.232834 32.186508 8.344650 7.390976 7.629395 9.298325 29.325485 30.755997 30.755997 31.471252 8.344650 
16 5.483627 6.437302 9.059906 8.106232 9.298325 25.510788 12.636185 8.106232 6.914139 8.106232 9.059906 23.126602 24.795532 11.682510 12.159348 7.390976 
16 5.722046 7.390976 10.490417 9.059906 9.536743 3.576279 13.589859 2.145767 7.629395 8.821487 10.490417 18.358231 18.119812 0.238419 13.113022 1.668930 
16 5.483627 7.629395 10.490417 9.059906 10.251999 11.920929 14.066696 9.298325 7.629395 9.059906 10.967255 9.775162 11.205673 12.159348 14.066696 8.583069 
