#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) 
16 5.722046 28.133392 5.245209 28.133392 
16 5.483627 5.006790 5.483627 5.006790 
16 6.198883 4.291534 6.437302 3.814697 
16 5.960464 5.483627 5.960464 5.483627 
16 5.960464 5.245209 5.722046 5.006790 
16 12.874603 5.722046 12.636185 5.483627 
16 5.483627 6.198883 5.483627 4.529953 
16 5.483627 9.298325 5.245209 9.059906 
16 5.245209 5.245209 5.722046 5.006790 
16 5.960464 6.198883 5.722046 6.198883 
16 6.198883 5.006790 6.437302 5.245209 
16 8.106232 5.483627 7.867813 5.245209 
16 14.781952 13.351440 15.020370 13.113022 
16 5.960464 10.251999 5.722046 10.251999 
16 5.960464 5.006790 5.245209 5.006790 
16 5.722046 5.483627 5.960464 5.245209 
16 101.327896 101.566315 101.327896 101.566315 
16 5.006790 6.437302 5.245209 6.198883 
16 5.483627 5.722046 5.006790 5.483627 
16 5.960464 6.437302 5.722046 6.437302 
16 5.722046 253.677368 5.483627 253.677368 
16 5.960464 5.483627 5.245209 5.483627 
16 6.198883 5.245209 5.483627 5.006790 
16 5.960464 20.265579 5.483627 19.788742 
16 5.245209 5.722046 5.006790 5.483627 
16 5.722046 5.722046 5.245209 5.483627 
16 5.245209 5.722046 5.483627 5.483627 
16 5.483627 5.483627 4.529953 5.483627 
16 5.483627 128.030777 5.245209 128.030777 
16 5.960464 5.960464 5.960464 5.960464 
16 5.483627 6.198883 5.722046 5.960464 
16 5.245209 5.960464 5.006790 6.198883 
16 24.557114 18.358231 23.603439 18.119812 
16 5.483627 21.696091 5.483627 21.696091 
16 5.483627 5.245209 5.722046 5.006790 
16 5.483627 6.437302 5.722046 6.198883 
16 6.198883 5.245209 5.722046 5.245209 
16 5.006790 127.077103 5.483627 127.077103 
16 5.722046 5.483627 5.722046 5.483627 
16 5.245209 28.610229 5.483627 28.371811 
16 5.722046 4.768372 5.960464 4.768372 
16 5.006790 78.439713 11.920929 78.201294 
16 5.245209 5.722046 5.006790 5.245209 
16 5.483627 5.960464 5.483627 5.722046 
16 5.722046 5.960464 5.245209 5.722046 
16 5.722046 5.960464 6.198883 5.722046 
16 5.245209 5.722046 4.291534 5.722046 
16 41.484833 5.483627 40.769577 4.768372 
16 4.768372 7.152557 3.576279 7.152557 
16 5.245209 5.722046 5.245209 5.722046 
16 5.960464 5.960464 5.960464 5.722046 
