#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) 
16 5.722046 6.198883 5.483627 5.960464 
16 5.960464 5.960464 5.483627 5.722046 
16 19.311905 19.550323 19.550323 19.311905 
16 5.483627 4.768372 5.960464 4.291534 
16 6.198883 5.722046 6.437302 5.722046 
16 932.455063 927.209854 932.693481 925.302505 
16 5.960464 97.274780 0.953674 97.513199 
16 5.483627 4.529953 4.768372 4.291534 
16 5.960464 5.245209 5.483627 5.245209 
16 5.006790 5.483627 4.768372 5.483627 
16 5.722046 5.722046 5.245209 5.722046 
16 5.722046 5.722046 6.198883 5.245209 
16 7.629395 20.980835 7.867813 5.483627 
16 5.006790 3.576279 3.576279 3.337860 
16 5.483627 5.245209 5.245209 5.722046 
16 56.505203 56.028366 56.505203 55.551529 
16 5.245209 4.529953 5.006790 4.053116 
16 5.722046 4.529953 6.198883 4.053116 
16 5.722046 5.960464 5.722046 5.722046 
16 5.245209 5.960464 5.245209 5.960464 
16 5.960464 5.960464 5.722046 5.960464 
16 5.483627 4.768372 5.245209 4.529953 
16 5.483627 220.537186 3.814697 220.298767 
16 5.483627 5.006790 5.245209 4.768372 
16 5.483627 5.483627 5.483627 5.483627 
16 5.483627 4.529953 5.483627 4.529953 
16 5.960464 5.722046 6.198883 5.960464 
16 5.960464 4.291534 6.198883 3.814697 
16 5.722046 5.722046 5.245209 5.483627 
16 5.245209 5.483627 5.006790 5.483627 
16 5.245209 5.960464 5.483627 5.960464 
16 5.245209 5.960464 5.006790 5.722046 
16 5.483627 5.960464 5.722046 5.722046 
16 5.483627 885.009766 4.053116 885.009766 
16 5.722046 4.768372 5.483627 4.529953 
16 5.960464 4.529953 5.960464 4.053116 
16 5.722046 5.483627 5.245209 5.245209 
16 6.675720 7.152557 6.437302 6.914139 
16 5.006790 5.483627 5.245209 5.483627 
16 5.960464 5.483627 5.006790 5.006790 
16 5.722046 5.245209 5.722046 5.245209 
16 5.483627 4.768372 5.006790 4.529953 
16 21.696091 5.006790 21.934509 5.006790 
16 5.245209 5.483627 5.722046 5.483627 
16 5.722046 5.722046 5.722046 5.483627 
16 5.722046 5.006790 5.722046 4.768372 
16 5.245209 5.245209 5.006790 5.006790 
16 5.245209 3.337860 4.529953 2.861023 
16 5.006790 5.722046 5.006790 5.483627 
16 5.722046 5.960464 5.960464 5.722046 
16 5.245209 5.722046 5.960464 5.483627 
16 5.245209 5.483627 5.960464 5.245209 
16 5.245209 5.245209 5.483627 4.768372 
16 5.722046 28.371811 3.814697 28.371811 
16 5.722046 5.245209 5.960464 5.006790 
16 5.483627 5.960464 5.722046 5.722046 
16 5.245209 6.198883 5.483627 5.960464 
16 5.245209 5.483627 4.768372 5.245209 
16 5.960464 5.960464 6.198883 5.722046 
16 12.159348 6.198883 12.397766 5.960464 
16 5.722046 73.194504 4.529953 73.432922 
16 5.245209 5.245209 5.245209 5.245209 
16 5.006790 5.960464 5.245209 5.960464 
16 5.722046 84.638596 3.814697 84.638596 
16 5.245209 5.006790 5.245209 4.768372 
16 5.245209 6.437302 5.483627 6.437302 
16 5.483627 6.198883 5.245209 5.960464 
16 10.728836 9.775162 10.490417 9.536743 
16 5.960464 5.960464 5.722046 5.722046 
16 4.768372 22.172928 3.576279 22.172928 
16 5.245209 3.814697 4.529953 3.337860 
16 5.483627 5.006790 5.483627 4.768372 
16 9.775162 5.245209 9.775162 5.245209 
16 5.960464 44.107437 4.529953 43.869019 
16 5.483627 4.768372 5.483627 4.529953 
16 5.006790 4.529953 5.245209 4.291534 
16 5.722046 6.198883 5.960464 5.960464 
16 5.483627 5.722046 5.483627 5.722046 
16 5.245209 5.483627 5.722046 5.245209 
16 5.483627 5.722046 5.245209 5.483627 
16 5.722046 5.245209 5.483627 5.006790 
16 5.245209 5.722046 5.245209 5.722046 
16 5.245209 5.960464 5.245209 5.722046 
16 5.722046 5.722046 5.245209 5.483627 
16 5.245209 5.483627 5.006790 5.483627 
16 4.768372 5.006790 5.006790 5.006790 
16 5.722046 5.960464 5.722046 5.722046 
16 5.245209 5.006790 5.960464 5.006790 
16 10.728836 10.728836 10.728836 10.490417 
16 5.483627 5.483627 5.245209 5.245209 
16 5.722046 5.483627 6.437302 5.245209 
16 5.483627 4.768372 5.483627 4.768372 
16 5.483627 5.245209 5.006790 5.245209 
16 5.483627 5.722046 5.006790 5.483627 
16 9.298325 9.775162 9.059906 9.775162 
16 5.245209 5.722046 4.768372 5.483627 
16 5.722046 6.675720 5.960464 6.437302 
16 5.245209 1.668930 5.245209 9.059906 
16 5.483627 18.596649 6.437302 18.596649 
16 5.245209 5.960464 22.411346 5.722046 
16 5.483627 4.529953 3.576279 4.291534 
16 27.656555 5.483627 28.371811 5.483627 
16 5.006790 5.006790 4.291534 5.006790 
