#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16384 22.411346 21.219254 21.457672 19.311905 22.411346 20.265579 20.980835 19.073486 
16384 22.888184 25.749207 21.457672 20.027161 21.696091 25.033951 20.742416 19.311905 
16384 74.863434 18.835068 42.915344 18.358231 73.671341 17.881393 41.961670 17.404556 
16384 39.815903 29.087067 32.663345 29.325485 39.100647 28.133392 31.948090 28.610229 
16384 22.411346 21.457672 21.696091 20.027161 22.172928 20.503998 21.219254 19.550323 
16384 30.994415 18.596649 28.610229 15.497208 31.232834 16.927719 20.742416 14.543533 
16384 33.140182 18.835068 28.371811 20.503998 32.186508 17.881393 27.894974 19.073486 
16384 21.934509 28.848648 28.371811 29.087067 21.457672 28.371811 27.656555 28.371811 
16384 22.172928 37.908554 21.696091 36.239624 22.172928 36.716461 20.980835 35.762787 
16384 22.888184 20.742416 21.696091 20.027161 22.411346 20.265579 21.219254 19.311905 
16384 22.411346 21.696091 21.219254 19.550323 21.457672 21.219254 20.503998 19.073486 
16384 22.649765 20.265579 20.265579 18.119812 21.934509 19.788742 19.550323 17.404556 
16384 32.424927 30.994415 31.709671 30.040741 31.948090 30.279160 30.994415 29.325485 
16384 41.007996 23.603439 29.087067 22.888184 40.769577 22.888184 28.371811 22.172928 
16384 37.431717 34.570694 35.524368 33.855438 36.954880 34.332275 34.570694 33.140182 
16384 23.603439 20.027161 23.603439 21.219254 23.126602 19.550323 22.888184 20.503998 
16384 24.795532 20.265579 24.080276 19.311905 24.318695 19.311905 23.126602 18.835068 
16384 22.172928 20.742416 21.219254 20.027161 21.696091 19.788742 20.265579 19.311905 
16384 22.172928 21.457672 21.696091 20.027161 21.696091 20.503998 20.742416 19.311905 
16384 22.888184 20.742416 21.219254 19.788742 21.457672 19.550323 20.265579 18.835068 
16384 22.172928 20.503998 21.219254 20.503998 21.696091 19.788742 20.503998 19.550323 
16384 22.888184 21.696091 21.457672 20.742416 21.934509 20.742416 20.265579 19.550323 
16384 22.172928 19.788742 20.742416 19.073486 21.696091 19.311905 19.788742 18.596649 
16384 21.934509 21.219254 21.696091 20.027161 21.457672 20.503998 20.742416 19.550323 
16384 21.934509 21.696091 21.696091 19.788742 21.457672 20.503998 20.742416 19.311905 
16384 45.537949 40.292740 43.869019 40.054321 44.584274 39.577484 42.915344 39.100647 
16384 51.975250 48.637390 49.591064 47.922134 50.783157 48.160553 48.875809 47.206879 
16384 23.126602 20.742416 22.411346 19.550323 22.411346 19.788742 21.219254 19.073486 
16384 26.226044 24.557114 25.272369 23.603439 25.749207 24.080276 24.795532 22.888184 
16384 22.172928 21.457672 20.980835 21.219254 21.219254 20.265579 20.742416 20.503998 
16384 23.603439 23.365021 22.888184 20.742416 23.126602 21.219254 22.172928 20.265579 
16384 21.934509 21.219254 21.457672 20.027161 21.219254 20.503998 20.980835 19.550323 
16384 21.696091 21.219254 21.457672 20.027161 21.219254 20.503998 20.742416 19.311905 
16384 22.888184 20.503998 21.457672 20.027161 21.934509 19.550323 20.503998 19.311905 
16384 39.339066 20.265579 38.146973 19.788742 38.623810 19.788742 37.670135 19.311905 
16384 22.172928 20.265579 27.418137 20.027161 21.219254 19.550323 25.749207 19.073486 
16384 27.179718 20.027161 25.272369 18.358231 25.749207 18.835068 8.106232 17.881393 
16384 22.411346 20.980835 15.735626 20.027161 21.696091 20.503998 14.781952 19.311905 
16384 29.087067 27.179718 26.464462 26.464462 28.133392 26.464462 25.987625 25.987625 
16384 22.172928 20.980835 21.219254 20.980835 21.219254 20.027161 20.503998 20.027161 
16384 23.126602 20.742416 22.411346 20.027161 22.888184 20.027161 21.696091 19.073486 
16384 21.696091 20.742416 21.696091 20.027161 21.219254 20.027161 20.742416 19.311905 
16384 26.226044 25.510788 25.272369 24.318695 25.749207 24.557114 24.557114 23.841858 
16384 26.226044 20.742416 21.219254 19.550323 25.749207 20.027161 20.503998 18.835068 
16384 23.365021 20.503998 22.888184 20.027161 22.649765 19.788742 21.934509 19.550323 
16384 25.033951 19.073486 24.318695 18.119812 24.318695 18.835068 23.603439 17.642975 
16384 22.888184 34.570694 29.563904 34.093857 22.172928 33.855438 28.133392 33.378601 
16384 21.696091 19.550323 20.265579 17.881393 20.265579 18.119812 19.311905 17.404556 
16384 22.649765 21.457672 21.457672 16.450882 21.934509 20.742416 21.219254 15.735626 
16384 22.172928 20.980835 20.980835 19.788742 21.696091 20.265579 20.503998 19.311905 
