#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) 
16384 16.212463 12.636185 16.689301 6.198883 
16384 22.411346 16.689301 23.126602 5.722046 
16384 16.450882 12.874603 16.927719 6.198883 
16384 16.212463 12.636185 16.927719 6.198883 
16384 16.212463 12.874603 17.166138 5.960464 
16384 21.457672 16.689301 27.894974 5.960464 
16384 27.894974 13.589859 28.371811 6.437302 
16384 16.212463 12.397766 16.689301 5.960464 
16384 15.974045 12.636185 16.450882 5.960464 
16384 15.735626 12.636185 15.974045 5.960464 
16384 15.497208 12.636185 15.974045 5.960464 
16384 15.735626 12.636185 16.689301 5.722046 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.497208 12.636185 16.450882 5.960464 
16384 15.735626 12.397766 16.450882 5.960464 
16384 15.735626 12.397766 16.450882 5.722046 
16384 15.735626 12.874603 16.450882 5.960464 
16384 16.212463 12.874603 16.450882 6.198883 
16384 15.735626 12.397766 16.450882 5.960464 
16384 15.735626 12.636185 16.450882 5.960464 
16384 27.894974 24.080276 28.610229 5.960464 
16384 15.497208 12.159348 16.212463 5.960464 
16384 69.141388 39.815903 69.618225 6.437302 
16384 16.450882 12.636185 16.927719 5.960464 
16384 27.179718 24.080276 27.894974 6.198883 
16384 15.735626 12.636185 16.689301 6.198883 
16384 28.848648 21.934509 29.563904 5.960464 
16384 45.537949 42.438507 46.014786 6.198883 
16384 37.670135 32.424927 38.385391 13.113022 
16384 16.212463 12.636185 16.927719 6.198883 
16384 32.186508 28.848648 32.901764 6.198883 
16384 147.581100 20.503998 148.296356 6.198883 
16384 213.384628 130.653381 214.099884 6.198883 
16384 24.318695 20.980835 24.795532 6.437302 
16384 16.689301 13.113022 17.404556 6.198883 
16384 17.404556 14.305115 18.119812 5.960464 
16384 16.212463 12.874603 17.166138 6.198883 
16384 16.450882 12.874603 17.166138 6.198883 
16384 16.212463 12.636185 16.689301 5.960464 
16384 22.411346 22.172928 23.603439 6.198883 
16384 94.175339 37.670135 95.367432 6.198883 
16384 42.438507 25.510788 43.153763 6.198883 
16384 15.497208 12.397766 16.450882 6.198883 
16384 101.089478 97.990036 102.043152 6.198883 
16384 16.450882 13.113022 16.927719 6.437302 
16384 59.127808 55.789948 59.604645 5.960464 
16384 17.166138 13.828278 17.881393 5.960464 
16384 15.735626 12.397766 16.450882 5.960464 
16384 15.974045 12.636185 16.450882 5.960464 
16384 15.735626 12.636185 16.212463 5.960464 
16384 16.212463 12.874603 16.927719 6.198883 
16384 15.974045 12.874603 16.450882 5.960464 
16384 21.696091 18.596649 22.649765 5.960464 
16384 15.735626 12.397766 16.450882 5.960464 
16384 24.080276 13.351440 24.795532 5.960464 
16384 71.525574 17.642975 72.240829 6.198883 
16384 16.212463 12.636185 16.927719 5.960464 
16384 190.496445 98.705292 190.973282 5.960464 
16384 70.333481 66.995621 71.048737 6.198883 
16384 15.735626 12.397766 16.450882 6.198883 
16384 16.689301 13.351440 17.404556 5.722046 
16384 15.497208 12.397766 15.974045 5.960464 
16384 20.027161 12.636185 20.742416 5.722046 
16384 15.735626 12.636185 16.450882 6.198883 
16384 16.212463 12.874603 16.927719 6.198883 
16384 15.735626 12.397766 16.450882 5.960464 
16384 15.974045 12.636185 16.689301 5.722046 
16384 15.735626 12.397766 16.689301 5.960464 
16384 15.497208 12.397766 15.974045 5.960464 
16384 16.450882 12.874603 17.166138 6.198883 
16384 15.735626 12.874603 16.689301 5.960464 
16384 15.974045 12.874603 16.450882 5.960464 
16384 20.265579 12.636185 20.980835 5.960464 
16384 16.212463 12.874603 16.689301 5.960464 
16384 19.788742 12.397766 20.503998 5.960464 
16384 16.450882 13.113022 16.927719 6.198883 
16384 15.735626 12.397766 16.450882 5.722046 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.974045 12.636185 16.212463 6.198883 
16384 15.974045 12.874603 16.689301 6.198883 
16384 15.735626 12.874603 16.450882 6.198883 
16384 16.212463 12.636185 16.450882 5.960464 
16384 16.212463 12.159348 16.927719 5.960464 
16384 15.974045 12.636185 16.689301 5.960464 
16384 15.735626 12.397766 16.450882 5.960464 
16384 15.735626 12.397766 16.212463 5.960464 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.974045 12.636185 16.689301 5.960464 
16384 15.735626 12.636185 16.689301 5.960464 
16384 15.735626 12.397766 16.689301 5.960464 
16384 16.212463 12.397766 16.689301 5.722046 
16384 16.212463 11.920929 16.927719 5.722046 
16384 16.212463 12.636185 16.927719 6.198883 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.497208 12.397766 16.212463 5.722046 
16384 15.497208 12.397766 16.450882 5.960464 
16384 15.974045 12.636185 16.450882 5.960464 
16384 379.085541 175.476074 380.039215 5.960464 
16384 1396.656036 707.387924 1397.132874 5.960464 
16384 739.336014 735.282898 741.004944 6.914139 
16384 467.061996 12.874603 467.777252 6.198883 
16384 176.191330 172.376633 176.906586 6.198883 
16384 227.451324 125.408173 228.166580 6.198883 
16384 92.267990 12.874603 92.744827 5.960464 
16384 143.289566 32.901764 144.004822 6.198883 
16384 104.188919 100.851059 104.665756 5.960464 
16384 50.783157 12.636185 51.259995 5.960464 
16384 198.125839 159.978867 199.317932 5.960464 
16384 606.536865 174.522400 607.252121 5.960464 
16384 942.230225 496.864319 943.422318 5.960464 
16384 2147.197723 1055.479050 2148.389816 6.437302 
16384 845.670700 477.313995 846.385956 7.390976 
16384 1528.263092 1242.399216 1528.739929 5.960464 
16384 86.069107 53.644180 86.545944 6.198883 
16384 121.355057 81.539154 122.547150 6.198883 
16384 183.343887 105.381012 184.059143 6.198883 
16384 135.898590 90.599060 136.852264 6.198883 
16384 85.115433 81.777573 85.830688 5.960464 
16384 31.709671 28.610229 32.663345 5.722046 
16384 190.734863 111.341476 191.450119 5.722046 
16384 36.239624 24.557114 36.954880 5.960464 
16384 295.400620 33.855438 295.877457 5.960464 
16384 140.905380 136.137009 141.620636 5.960464 
16384 142.812729 50.067902 143.289566 5.960464 
16384 166.654587 36.954880 167.369843 6.198883 
16384 76.055527 62.704086 77.009201 6.198883 
16384 80.108643 76.770782 80.823898 5.960464 
16384 213.384628 107.288361 214.338303 5.960464 
16384 234.842300 30.994415 235.557556 6.198883 
16384 166.416168 129.699707 167.131424 5.960464 
16384 93.460083 65.326691 94.413757 5.960464 
16384 314.950943 46.491623 316.381454 6.198883 
16384 386.714935 230.312347 387.191772 6.198883 
16384 158.786774 96.559525 159.740448 25.510788 
16384 167.131424 70.333481 168.085098 6.198883 
16384 575.780869 111.579895 576.019287 6.198883 
16384 427.484512 196.933746 428.199768 5.960464 
16384 363.588333 274.419785 364.303589 5.960464 
16384 480.890274 256.299973 869.750977 6.198883 
16384 379.085541 248.432159 384.092331 5.960464 
16384 266.313553 248.193741 267.505646 6.198883 
16384 1076.936722 204.086304 1077.651978 6.198883 
16384 592.231750 179.290771 593.185425 6.675720 
16384 530.719757 319.242477 531.673431 5.960464 
16384 438.690186 95.844269 438.928604 5.960464 
16384 500.679016 282.526016 501.632690 5.960464 
16384 205.993652 190.973282 206.947327 5.960464 
16384 52.452087 33.617020 53.167343 6.437302 
16384 556.468964 175.952911 557.661057 6.198883 
16384 228.643417 142.812729 229.358673 5.722046 
16384 510.931015 133.752823 511.407852 6.198883 
16384 156.164169 87.976456 265.836716 6.437302 
16384 555.276871 354.766846 819.683075 6.675720 
16384 704.288483 355.005264 704.765320 6.198883 
16384 79.631805 74.148178 80.347061 5.960464 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.497208 12.397766 16.689301 5.722046 
16384 15.735626 11.682510 16.450882 5.960464 
16384 16.689301 12.874603 17.166138 6.198883 
16384 16.450882 12.397766 16.927719 5.960464 
16384 15.974045 12.397766 16.689301 5.722046 
16384 16.450882 13.113022 17.166138 5.960464 
16384 15.974045 12.636185 16.927719 5.960464 
16384 16.212463 12.874603 16.689301 6.198883 
16384 16.212463 12.874603 16.927719 5.960464 
16384 16.212463 12.397766 16.927719 6.198883 
16384 16.212463 12.636185 16.927719 5.960464 
16384 16.212463 12.874603 16.927719 6.198883 
16384 17.642975 14.066696 18.596649 5.960464 
16384 15.974045 12.397766 16.450882 5.960464 
16384 15.497208 12.159348 16.212463 5.722046 
16384 16.212463 13.113022 16.927719 5.960464 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.974045 12.874603 16.689301 6.198883 
16384 15.258789 12.397766 16.212463 5.960464 
16384 21.696091 16.689301 22.411346 5.960464 
16384 16.450882 12.636185 16.927719 5.960464 
16384 15.974045 12.397766 16.689301 5.960464 
16384 15.735626 12.159348 16.450882 5.722046 
16384 15.974045 12.636185 16.450882 5.960464 
16384 15.497208 12.397766 16.450882 5.960464 
16384 15.974045 12.159348 16.927719 6.198883 
16384 36.239624 13.351440 37.193298 5.960464 
16384 18.119812 23.365021 19.311905 5.722046 
16384 15.974045 12.397766 16.450882 5.960464 
16384 15.974045 12.397766 16.450882 5.960464 
16384 15.974045 12.397766 16.927719 5.960464 
16384 15.974045 12.636185 16.689301 5.960464 
16384 15.735626 12.397766 16.212463 5.960464 
16384 15.974045 12.636185 16.450882 5.960464 
16384 15.974045 12.636185 16.927719 5.960464 
16384 15.974045 12.636185 17.404556 5.960464 
16384 15.258789 12.397766 15.974045 6.198883 
16384 16.212463 12.397766 17.166138 6.437302 
16384 16.689301 12.636185 17.404556 5.722046 
16384 18.596649 12.397766 19.550323 5.960464 
16384 17.166138 13.351440 18.119812 5.960464 
16384 155.687332 42.676926 305.175781 5.960464 
16384 53.405762 51.259995 54.597855 6.198883 
16384 16.212463 12.159348 16.927719 5.722046 
16384 17.881393 15.497208 18.596649 5.722046 
16384 100.612640 36.239624 104.665756 5.722046 
16384 9.298325 20.980835 10.728836 6.198883 
16384 15.974045 12.397766 16.689301 5.722046 
16384 16.450882 12.874603 17.166138 5.960464 
16384 134.468079 67.472458 135.660172 5.960464 
16384 17.166138 13.113022 17.642975 6.914139 
16384 15.497208 12.159348 15.974045 5.960464 
16384 17.404556 13.589859 17.881393 5.722046 
16384 17.642975 24.318695 18.119812 5.960464 
16384 15.974045 12.636185 16.689301 6.198883 
16384 16.212463 12.397766 16.689301 5.960464 
16384 15.974045 12.397766 16.927719 6.198883 
16384 16.450882 12.397766 17.404556 5.960464 
16384 16.212463 12.874603 17.166138 5.960464 
16384 96.082687 94.890594 96.797943 5.722046 
16384 31.471252 28.133392 32.186508 6.198883 
16384 35.047531 15.020370 35.762787 5.960464 
16384 78.916550 38.385391 79.393387 5.960464 
16384 16.212463 12.874603 16.927719 5.960464 
16384 16.212463 13.113022 16.689301 6.437302 
16384 19.073486 13.351440 19.788742 6.198883 
16384 24.080276 17.642975 26.702881 5.960464 
16384 19.788742 14.305115 20.503998 5.960464 
16384 16.212463 12.636185 16.927719 6.198883 
16384 16.450882 12.636185 17.166138 5.960464 
16384 36.954880 12.397766 37.908554 5.960464 
16384 136.375427 110.149384 137.567520 6.198883 
16384 20.503998 14.543533 21.219254 5.960464 
16384 92.744827 46.253204 108.003616 5.960464 
16384 72.002411 69.141388 72.479248 6.198883 
16384 16.927719 12.636185 17.642975 5.722046 
16384 19.788742 16.450882 20.503998 5.960464 
16384 16.212463 12.874603 16.689301 6.198883 
16384 25.272369 13.828278 25.510788 5.960464 
16384 16.450882 12.636185 17.166138 5.722046 
16384 15.974045 12.636185 16.927719 5.722046 
16384 15.974045 12.636185 16.450882 5.722046 
16384 15.974045 12.636185 16.689301 5.722046 
16384 15.735626 12.397766 16.689301 5.722046 
16384 16.212463 12.636185 16.689301 6.198883 
16384 16.212463 12.636185 16.927719 5.960464 
16384 17.642975 14.543533 18.119812 6.198883 
16384 16.212463 12.874603 16.927719 5.960464 
16384 17.166138 13.589859 18.358231 5.960464 
16384 15.974045 12.397766 16.689301 5.960464 
16384 16.212463 16.927719 17.642975 5.960464 
16384 18.358231 15.258789 20.503998 5.960464 
16384 19.550323 12.636185 20.027161 5.960464 
16384 15.974045 12.397766 16.689301 5.960464 
16384 15.974045 12.397766 16.689301 5.960464 
16384 15.974045 12.159348 16.689301 5.960464 
16384 15.735626 12.159348 16.450882 5.722046 
16384 16.212463 12.397766 16.927719 5.960464 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.974045 12.397766 16.450882 5.960464 
16384 15.735626 12.397766 16.450882 5.960464 
16384 15.497208 12.159348 16.212463 5.960464 
16384 15.735626 12.636185 16.689301 5.960464 
16384 15.497208 12.159348 16.212463 5.960464 
16384 15.735626 12.397766 16.450882 5.722046 
16384 15.974045 12.159348 16.689301 5.960464 
16384 15.974045 12.636185 16.927719 5.960464 
16384 15.735626 12.397766 16.450882 5.960464 
16384 15.974045 12.636185 16.689301 5.960464 
16384 26.226044 17.166138 26.941299 5.722046 
16384 15.735626 12.636185 16.689301 5.960464 
16384 16.450882 13.113022 17.166138 6.198883 
16384 15.974045 12.397766 16.689301 5.722046 
16384 18.358231 15.020370 19.073486 5.960464 
16384 23.126602 12.636185 23.841858 5.722046 
16384 23.841858 13.828278 24.557114 5.722046 
16384 16.689301 13.351440 17.404556 5.960464 
16384 34.570694 31.471252 35.047531 5.960464 
16384 15.974045 12.636185 16.689301 5.960464 
16384 15.735626 12.636185 16.689301 5.960464 
16384 63.896179 37.193298 64.611435 5.960464 
16384 15.974045 12.636185 16.450882 5.960464 
16384 34.570694 30.755997 35.524368 5.722046 
16384 39.339066 35.524368 40.054321 5.960464 
16384 31.232834 26.941299 31.948090 6.198883 
16384 41.961670 38.623810 42.676926 5.960464 
16384 20.742416 17.642975 21.457672 5.722046 
16384 66.280365 12.636185 66.757202 5.960464 
16384 34.093857 12.874603 35.047531 6.198883 
16384 24.557114 20.980835 25.033951 5.960464 
16384 16.450882 12.874603 17.404556 5.960464 
16384 15.974045 12.636185 16.450882 5.960464 
16384 15.974045 12.397766 16.689301 5.960464 
16384 52.690506 14.066696 53.167343 5.722046 
16384 41.246414 24.795532 41.961670 6.198883 
16384 42.438507 13.351440 43.153763 5.722046 
16384 34.809113 28.848648 35.524368 5.722046 
16384 23.365021 19.550323 24.080276 5.960464 
16384 21.934509 18.596649 22.649765 5.722046 
16384 53.882599 31.232834 54.597855 5.960464 
16384 15.974045 12.874603 16.450882 5.960464 
16384 15.735626 12.874603 16.927719 6.198883 
16384 21.934509 15.497208 22.649765 5.722046 
16384 15.735626 12.397766 16.212463 5.722046 
16384 15.974045 12.636185 17.166138 5.960464 
16384 16.212463 12.636185 16.927719 6.198883 
16384 15.735626 12.397766 16.689301 5.960464 
16384 15.735626 12.636185 15.974045 5.960464 
16384 15.974045 12.397766 28.610229 5.960464 
16384 16.450882 12.636185 17.404556 6.198883 
16384 16.212463 12.874603 16.927719 6.198883 
16384 15.735626 12.397766 16.450882 5.722046 
16384 15.735626 12.397766 16.450882 5.722046 
16384 15.974045 12.159348 16.450882 5.722046 
16384 15.974045 12.397766 16.689301 5.960464 
16384 23.603439 14.781952 24.318695 5.960464 
16384 9.298325 18.119812 10.490417 5.960464 
16384 19.550323 15.735626 20.265579 5.960464 
16384 15.735626 12.636185 16.689301 5.960464 
16384 26.464462 23.365021 27.179718 5.722046 
16384 15.974045 12.397766 16.927719 5.960464 
16384 18.596649 16.212463 19.550323 5.960464 
16384 15.735626 12.636185 16.927719 5.960464 
16384 28.610229 25.272369 29.087067 5.960464 
16384 19.311905 12.159348 20.027161 5.960464 
16384 26.702881 21.219254 27.656555 5.960464 
16384 22.411346 15.497208 23.841858 5.960464 
16384 15.974045 12.636185 16.689301 6.198883 
16384 25.510788 21.696091 26.226044 5.960464 
16384 17.166138 13.828278 18.119812 6.198883 
16384 15.497208 12.397766 16.212463 5.960464 
16384 15.735626 12.159348 16.450882 5.960464 
16384 16.212463 12.874603 16.927719 5.960464 
16384 16.212463 12.397766 16.689301 5.722046 
16384 15.974045 12.636185 16.927719 6.437302 
16384 23.841858 12.636185 24.557114 5.960464 
16384 32.663345 29.087067 33.378601 5.960464 
16384 16.212463 12.874603 16.927719 6.198883 
16384 16.212463 12.874603 17.166138 6.198883 
16384 27.418137 18.596649 28.371811 6.198883 
16384 26.941299 13.351440 27.894974 6.198883 
16384 15.974045 12.636185 16.450882 5.960464 
16384 15.735626 12.636185 16.450882 5.722046 
16384 17.404556 12.636185 17.881393 5.722046 
16384 16.212463 13.113022 16.927719 6.198883 
16384 15.974045 12.636185 16.689301 5.960464 
16384 24.795532 12.874603 25.033951 5.960464 
16384 15.735626 11.920929 16.689301 5.960464 
16384 15.735626 12.397766 16.212463 5.960464 
16384 15.735626 12.159348 16.689301 5.960464 
16384 41.246414 26.941299 42.200089 6.198883 
16384 16.212463 12.397766 16.689301 5.960464 
16384 15.735626 12.636185 16.689301 5.960464 
16384 51.975250 18.119812 52.452087 6.198883 
16384 39.815903 25.749207 40.769577 8.821487 
16384 36.001205 22.411346 36.954880 6.198883 
16384 16.212463 12.874603 16.689301 6.198883 
16384 16.212463 12.636185 17.166138 5.960464 
16384 18.119812 14.066696 18.835068 6.198883 
16384 18.119812 14.543533 18.358231 5.960464 
16384 28.133392 24.795532 28.610229 6.437302 
16384 15.735626 12.397766 16.927719 6.198883 
16384 15.974045 12.397766 16.689301 5.960464 
16384 15.735626 12.636185 16.450882 6.437302 
16384 71.525574 49.591064 72.479248 5.960464 
16384 32.424927 11.682510 33.855438 8.344650 
16384 41.961670 13.351440 42.438507 6.198883 
16384 16.927719 12.636185 17.404556 5.960464 
16384 16.212463 12.636185 17.166138 5.960464 
16384 15.735626 12.397766 16.927719 5.960464 
16384 25.272369 12.874603 26.226044 5.960464 
16384 16.450882 12.874603 17.642975 6.198883 
16384 16.212463 12.874603 17.404556 5.960464 
16384 23.365021 16.450882 24.080276 6.198883 
16384 32.186508 12.874603 33.140182 5.960464 
16384 57.220459 30.040741 57.697296 5.960464 
16384 15.735626 12.636185 16.450882 5.960464 
16384 15.735626 12.636185 16.689301 5.960464 
16384 15.497208 12.397766 16.450882 5.960464 
16384 15.974045 12.397766 16.689301 5.722046 
16384 16.450882 12.636185 17.166138 6.198883 
16384 16.689301 12.874603 17.642975 5.960464 
16384 26.702881 12.636185 27.418137 5.960464 
16384 16.450882 12.874603 16.927719 5.960464 
