#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16384 72.002411 29.325485 34.809113 12.874603 106.096268 17.404556 7.152557 6.914139 
16384 29.325485 167.608261 25.510788 171.899796 30.517578 160.694122 7.152557 167.131424 
16384 32.663345 24.318695 28.848648 12.397766 33.140182 17.642975 7.152557 6.914139 
16384 29.802322 23.603439 26.226044 12.397766 31.232834 16.689301 7.152557 6.914139 
16384 30.994415 23.126602 27.656555 12.397766 31.709671 16.689301 7.152557 6.914139 
16384 48.398972 33.855438 45.299530 12.874603 50.067902 21.696091 7.152557 7.390976 
16384 32.186508 23.365021 27.656555 11.920929 32.901764 16.450882 7.867813 6.914139 
16384 35.047531 23.365021 27.418137 12.397766 35.524368 16.689301 7.152557 6.914139 
16384 30.517578 22.649765 27.179718 12.397766 31.709671 16.450882 7.152557 6.914139 
16384 33.855438 22.888184 30.517578 12.159348 34.332275 15.974045 7.152557 6.675720 
16384 144.481659 55.551529 104.904175 12.159348 145.196915 22.649765 26.941299 6.914139 
16384 173.330307 123.500824 144.004822 57.458878 174.283981 86.784363 52.690506 51.259995 
16384 87.976456 61.273575 66.280365 12.874603 88.691711 54.359436 53.882599 6.914139 
16384 91.075897 52.690506 78.439713 28.610229 91.552734 32.663345 28.848648 23.126602 
16384 52.213669 32.901764 37.193298 13.113022 53.405762 24.795532 7.390976 7.152557 
16384 36.001205 28.371811 32.663345 12.397766 36.954880 16.927719 6.914139 6.914139 
16384 33.855438 26.226044 30.279160 12.874603 34.570694 19.311905 7.152557 6.914139 
16384 32.901764 23.603439 27.656555 12.636185 33.140182 16.927719 13.589859 7.152557 
16384 37.670135 29.087067 33.617020 12.636185 38.146973 22.411346 6.914139 7.152557 
16384 32.901764 23.126602 29.325485 12.159348 33.617020 16.212463 6.914139 6.675720 
16384 34.809113 25.749207 31.232834 12.397766 35.285950 16.689301 7.152557 6.914139 
16384 31.232834 23.126602 27.894974 12.397766 31.948090 16.689301 6.914139 6.914139 
16384 63.657761 44.822693 59.604645 41.246414 64.134598 30.040741 7.390976 18.596649 
16384 42.676926 24.080276 28.610229 12.636185 43.153763 17.404556 7.152557 6.675720 
16384 73.671341 55.313110 60.081482 20.503998 74.386597 47.922134 14.781952 14.781952 
16384 39.100647 30.994415 35.285950 12.636185 39.815903 16.689301 7.152557 6.675720 
16384 36.001205 28.371811 32.663345 12.636185 36.954880 16.927719 6.675720 7.152557 
16384 32.424927 33.617020 30.040741 12.636185 33.378601 16.927719 7.152557 6.675720 
16384 42.676926 34.570694 39.100647 23.841858 43.392181 28.133392 7.152557 6.914139 
16384 73.909760 37.670135 60.796738 13.351440 74.625015 18.835068 17.404556 8.344650 
16384 82.254410 64.849854 78.201294 12.397766 82.731247 32.663345 10.251999 6.914139 
16384 92.744827 40.531158 78.678131 12.636185 93.460083 29.563904 29.325485 6.914139 
16384 33.617020 28.610229 30.279160 12.636185 34.093857 16.450882 7.152557 6.675720 
16384 31.232834 23.126602 27.418137 12.397766 31.948090 16.689301 6.914139 7.152557 
16384 63.657761 41.484833 54.597855 12.874603 64.373016 16.927719 40.769577 7.390976 
16384 32.424927 25.272369 29.325485 12.874603 34.570694 18.358231 15.258789 7.152557 
16384 30.994415 22.888184 27.418137 12.159348 31.709671 16.212463 7.152557 6.675720 
16384 46.968460 24.557114 56.505203 13.113022 47.683716 18.119812 6.914139 7.867813 
16384 33.140182 24.557114 28.610229 12.397766 33.855438 17.642975 12.874603 6.914139 
16384 35.047531 26.702881 31.232834 13.351440 35.762787 20.027161 7.152557 7.390976 
16384 31.948090 23.603439 27.894974 12.397766 32.186508 16.450882 6.914139 6.914139 
16384 33.140182 23.365021 30.517578 12.397766 34.093857 16.689301 7.152557 6.914139 
16384 80.108643 46.730042 74.863434 12.636185 80.823898 21.219254 7.629395 7.152557 
16384 71.763992 61.035156 54.121017 29.087067 72.240829 44.345856 22.411346 24.318695 
