#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) 
16 53.405762 69.856644 171.899796 185.728073 52.928925 140.905380 171.184540 185.489655 52.690506 69.618225 171.899796 185.489655 52.928925 141.620636 170.469284 185.489655 
16 228.881836 125.169754 67.949295 171.184540 55.074692 51.259995 54.359436 111.579895 220.060349 125.408173 67.949295 171.184540 54.836273 50.544739 54.121017 111.103058 
16 204.801559 130.653381 7.390976 230.550766 244.855881 166.416168 199.317932 198.125839 205.278397 131.130219 7.629395 231.504440 245.571136 165.700912 199.556351 197.887421 
16 120.878220 70.095062 119.447708 117.301941 137.567520 117.540359 109.195709 117.778778 119.686127 69.618225 119.447708 117.540359 137.567520 116.586685 109.195709 118.732452 
16 208.139420 160.217285 121.831894 108.957291 238.418579 159.263611 165.224075 158.786774 207.901001 159.502029 121.355057 108.480453 237.941742 159.025192 164.747238 158.548355 
16 44.822693 78.678131 74.625015 45.061111 45.061111 79.154968 74.386597 46.014786 44.584274 78.678131 74.863434 45.299530 45.299530 80.108643 74.386597 46.730042 
16 24.080276 24.080276 49.591064 44.345856 23.603439 6.914139 50.067902 55.551529 25.749207 25.272369 50.544739 44.584274 24.080276 23.841858 49.352646 55.551529 
16 12.159348 21.696091 23.365021 21.696091 22.649765 21.934509 23.603439 21.696091 11.920929 21.934509 23.126602 21.696091 22.649765 21.457672 23.365021 21.219254 
16 11.682510 17.166138 14.305115 12.874603 20.027161 12.636185 14.066696 9.775162 10.967255 17.881393 14.066696 12.636185 19.788742 12.397766 14.066696 9.059906 
16 23.126602 23.841858 23.365021 23.841858 23.365021 23.365021 22.649765 23.603439 23.126602 23.365021 23.365021 23.365021 23.841858 23.603439 22.888184 23.603439 
16 31.471252 31.232834 24.795532 31.471252 30.040741 30.994415 30.517578 31.232834 28.610229 31.232834 8.344650 32.186508 30.755997 31.948090 30.994415 31.709671 
16 11.920929 11.682510 10.967255 10.967255 11.444092 11.205673 10.490417 10.490417 11.920929 11.444092 10.251999 10.728836 11.444092 10.728836 10.490417 10.251999 
16 12.397766 12.397766 11.205673 11.444092 12.397766 12.636185 11.444092 11.682510 11.920929 12.397766 11.205673 11.682510 12.159348 12.636185 11.444092 11.444092 
16 31.948090 14.543533 12.159348 10.967255 20.027161 11.682510 12.159348 10.490417 32.186508 15.497208 12.159348 10.967255 20.265579 11.205673 12.159348 10.728836 
16 11.205673 12.636185 11.444092 12.397766 11.920929 28.133392 10.728836 12.636185 11.444092 12.397766 10.967255 12.397766 11.920929 27.894974 10.967255 12.636185 
16 14.305115 89.406967 12.636185 89.406967 11.920929 82.254410 13.113022 88.930130 14.066696 88.930130 12.397766 88.930130 29.563904 81.777573 12.159348 89.645386 
16 11.682510 10.251999 11.682510 10.251999 11.920929 10.013580 11.682510 9.775162 11.682510 10.490417 11.682510 10.251999 11.682510 10.013580 11.205673 9.298325 
16 86.307526 52.213669 50.783157 86.545944 60.796738 51.498413 50.067902 73.909760 86.069107 51.736832 50.544739 86.069107 61.511993 50.783157 50.067902 73.909760 
16 19.311905 56.505203 11.682510 56.028366 18.835068 35.047531 11.682510 49.352646 18.835068 57.220459 11.444092 56.505203 18.835068 34.809113 11.682510 50.544739 
16 33.378601 44.107437 43.392181 83.684921 32.186508 43.630600 32.186508 83.446503 33.140182 43.630600 43.869019 82.731247 31.709671 52.928925 31.471252 83.684921 
16 41.007996 66.280365 40.769577 38.623810 40.292740 66.757202 41.007996 69.141388 40.769577 66.280365 40.769577 37.670135 40.292740 66.041946 41.007996 69.141388 
16 60.558319 21.696091 46.968460 28.848648 61.035156 48.160553 59.843063 28.610229 60.319901 20.980835 46.253204 28.848648 61.750412 48.160553 59.366226 28.133392 
