#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) 
16 6.437302 5.483627 6.198883 5.245209 
16 5.960464 5.722046 6.198883 5.722046 
16 5.722046 6.198883 5.483627 5.960464 
16 5.483627 4.768372 5.245209 4.768372 
16 5.960464 4.768372 5.960464 4.768372 
16 18.358231 18.835068 17.881393 19.311905 
16 5.960464 5.006790 5.722046 4.768372 
16 5.722046 5.960464 5.483627 5.722046 
16 26.226044 25.987625 26.226044 25.987625 
16 6.198883 5.722046 5.960464 5.722046 
16 5.722046 5.483627 5.245209 5.483627 
16 26.941299 5.483627 26.702881 5.483627 
16 4.768372 4.529953 5.483627 4.529953 
16 5.722046 5.245209 5.483627 5.245209 
16 5.960464 6.437302 5.483627 6.437302 
16 5.960464 28.610229 22.649765 28.610229 
16 6.198883 6.198883 6.914139 6.198883 
16 5.483627 5.960464 5.483627 5.960464 
16 5.960464 5.722046 5.960464 5.245209 
16 5.960464 43.392181 5.960464 43.153763 
16 8.106232 7.629395 8.344650 7.867813 
16 5.245209 6.198883 5.245209 6.198883 
16 5.960464 4.768372 5.722046 4.291534 
16 6.198883 5.006790 5.722046 5.006790 
16 5.722046 5.483627 5.483627 5.245209 
16 5.722046 6.437302 6.437302 6.437302 
16 5.960464 5.483627 5.483627 5.483627 
16 5.245209 5.245209 6.198883 5.245209 
16 5.722046 6.198883 5.245209 6.198883 
16 9.298325 10.728836 9.059906 10.967255 
16 5.483627 15.974045 5.006790 15.735626 
16 6.198883 6.198883 7.152557 6.198883 
16 5.483627 5.960464 5.245209 5.960464 
16 5.960464 6.675720 5.722046 6.675720 
16 6.675720 5.960464 6.437302 6.198883 
16 5.006790 5.245209 5.483627 5.245209 
16 5.722046 5.722046 5.722046 5.722046 
16 5.722046 19.550323 5.483627 19.311905 
16 5.483627 5.006790 5.483627 5.006790 
16 5.722046 4.768372 5.722046 4.768372 
16 6.198883 28.848648 5.245209 29.087067 
16 5.245209 4.768372 5.006790 5.006790 
16 5.722046 5.483627 5.960464 5.245209 
16 5.722046 5.960464 5.483627 5.960464 
16 5.960464 5.722046 5.960464 5.722046 
16 6.198883 5.722046 6.198883 5.483627 
16 7.867813 21.219254 7.629395 21.219254 
16 5.722046 21.219254 5.483627 21.219254 
16 5.483627 4.768372 5.483627 4.291534 
16 5.722046 5.722046 5.245209 5.722046 
16 5.483627 5.722046 5.006790 5.722046 
16 5.722046 4.768372 5.006790 5.006790 
16 6.198883 5.960464 5.245209 5.722046 
16 217.914581 5.960464 219.345093 5.722046 
16 5.722046 5.006790 5.245209 4.529953 
16 17.404556 4.529953 17.404556 4.529953 
16 5.245209 5.006790 5.483627 4.768372 
16 5.483627 4.768372 5.483627 4.768372 
16 5.245209 5.245209 5.960464 5.245209 
