#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16 5.960464 20.503998 32.901764 20.503998 6.437302 20.742416 32.663345 20.265579 
16 5.960464 21.219254 19.073486 20.742416 5.722046 20.503998 19.073486 21.219254 
16 6.198883 5.960464 6.437302 5.960464 6.198883 6.198883 6.437302 5.960464 
16 6.437302 21.219254 6.437302 21.696091 5.960464 21.219254 5.960464 21.696091 
16 5.960464 6.198883 5.960464 5.722046 5.960464 6.198883 6.198883 5.722046 
16 20.265579 20.980835 20.265579 5.245209 20.503998 20.742416 20.503998 5.245209 
16 6.914139 6.437302 6.437302 5.960464 7.152557 6.198883 6.914139 5.960464 
16 5.960464 6.198883 5.722046 5.960464 5.960464 5.960464 5.722046 5.722046 
16 5.960464 6.198883 5.483627 5.960464 5.960464 6.437302 5.960464 5.960464 
16 5.960464 5.722046 5.960464 5.483627 6.198883 6.198883 5.960464 5.960464 
16 5.960464 6.198883 6.198883 6.198883 5.960464 6.198883 6.198883 6.198883 
16 5.722046 6.198883 5.722046 6.914139 5.722046 6.437302 6.198883 6.914139 
16 6.198883 5.960464 6.437302 5.960464 5.960464 5.960464 6.437302 5.722046 
16 6.437302 5.245209 5.722046 5.483627 6.198883 5.483627 6.437302 5.722046 
16 5.960464 6.675720 6.198883 6.914139 5.960464 6.675720 5.960464 6.914139 
16 5.960464 5.722046 5.722046 6.198883 5.960464 5.960464 5.722046 6.198883 
16 6.198883 6.198883 5.960464 5.722046 6.437302 5.960464 5.960464 5.960464 
16 6.198883 6.198883 5.722046 6.198883 6.437302 6.198883 5.960464 5.960464 
16 20.503998 20.742416 5.006790 21.934509 20.742416 21.219254 5.483627 21.934509 
16 5.960464 5.483627 5.483627 5.960464 5.722046 5.722046 5.960464 5.483627 
16 5.960464 5.960464 5.960464 5.960464 5.722046 5.960464 5.960464 5.722046 
16 6.198883 5.722046 6.198883 5.960464 5.960464 5.722046 5.960464 5.960464 
16 6.198883 6.914139 6.914139 6.914139 5.960464 7.390976 6.914139 7.390976 
16 6.914139 5.960464 6.675720 5.722046 6.914139 5.960464 6.914139 5.722046 
16 5.960464 5.483627 6.198883 5.722046 5.960464 5.483627 5.960464 5.722046 
16 6.914139 7.390976 5.245209 7.629395 6.914139 7.390976 5.722046 8.106232 
16 6.675720 5.960464 6.198883 5.960464 6.675720 6.198883 5.960464 6.437302 
16 6.437302 6.437302 6.198883 6.437302 6.198883 7.152557 6.198883 6.675720 
16 5.960464 7.152557 5.960464 5.483627 6.198883 6.914139 5.960464 5.483627 
16 6.198883 5.722046 5.722046 5.960464 5.960464 5.722046 5.483627 5.960464 
16 9.298325 10.013580 5.483627 9.536743 9.059906 10.013580 5.722046 9.536743 
16 6.437302 6.437302 6.914139 6.437302 6.437302 6.675720 6.675720 6.198883 
