# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
2153873,1000000000,1
1825094,1000000000,1
1749992,1000000000,1
1636028,1000000000,1
1697063,1000000000,1
1709938,1000000000,1
1770019,1000000000,1
2060890,1000000000,1
2340078,1000000000,1
2511978,1000000000,1
2673149,1000000000,1
2869129,1000000000,1
2756118,1000000000,1
2698898,1000000000,1
2762079,1000000000,1
2799034,1000000000,1
2791881,1000000000,1
2828121,1000000000,1
2792835,1000000000,1
2774953,1000000000,1
2763032,1000000000,1
2857208,1000000000,1
2781152,1000000000,1
2819776,1000000000,1
2686977,1000000000,1
2784967,1000000000,1
2784013,1000000000,1
2717018,1000000000,1
2791881,1000000000,1
2959012,1000000000,1
# Hoverboard test (1048576 1 1000000)
# time(ns),sleep_time(ns),repetitions
2122879,1000000,1
1477956,1000000,1
1275062,1000000,1
893115,1000000,1
850915,1000000,1
944852,1000000,1
859022,1000000,1
859022,1000000,1
861883,1000000,1
849008,1000000,1
839948,1000000,1
823020,1000000,1
854015,1000000,1
855922,1000000,1
933885,1000000,1
847101,1000000,1
860929,1000000,1
821113,1000000,1
888109,1000000,1
824928,1000000,1
803947,1000000,1
814199,1000000,1
841140,1000000,1
892162,1000000,1
816106,1000000,1
850200,1000000,1
828981,1000000,1
825881,1000000,1
877857,1000000,1
837087,1000000,1
# Hoverboard test (1048576 1 1000)
# time(ns),sleep_time(ns),repetitions
2099990,1000,1
1479864,1000,1
1067876,1000,1
838994,1000,1
887155,1000,1
844955,1000,1
799894,1000,1
859975,1000,1
838994,1000,1
810861,1000,1
818967,1000,1
837087,1000,1
852108,1000,1
838041,1000,1
819921,1000,1
801801,1000,1
781059,1000,1
811100,1000,1
809907,1000,1
777006,1000,1
780105,1000,1
804185,1000,1
754117,1000,1
771999,1000,1
754117,1000,1
784158,1000,1
812053,1000,1
802040,1000,1
741004,1000,1
792026,1000,1
# Hoverboard test (1048576 1 1)
# time(ns),sleep_time(ns),repetitions
1812934,1,1
1260995,1,1
1070976,1,1
1002073,1,1
968933,1,1
952005,1,1
919103,1,1
916957,1,1
867128,1,1
845909,1,1
861883,1,1
900030,1,1
797033,1,1
845193,1,1
813961,1,1
785112,1,1
827074,1,1
783920,1,1
781059,1,1
776052,1,1
776052,1,1
794887,1,1
773906,1,1
779151,1,1
785827,1,1
895977,1,1
783920,1,1
757217,1,1
780105,1,1
816822,1,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
1422166,0,1
966072,0,1
898122,0,1
966072,0,1
908136,0,1
893115,0,1
845909,0,1
854969,0,1
907182,0,1
864982,0,1
880956,0,1
887870,0,1
820875,0,1
852108,0,1
816106,0,1
841856,0,1
870943,0,1
890016,0,1
840902,0,1
841856,0,1
825881,0,1
867128,0,1
809907,0,1
811100,0,1
829219,0,1
869035,0,1
911951,0,1
853061,0,1
812053,0,1
833988,0,1
# Hoverboard test (1048576 1 2)
# time(ns),sleep_time(ns),repetitions
1478910,2,1
1003026,2,1
943899,2,1
909090,2,1
839948,2,1
836849,2,1
856161,2,1
860929,2,1
833988,2,1
830888,2,1
847816,2,1
808954,2,1
804901,2,1
782012,2,1
779867,2,1
787973,2,1
820875,2,1
805854,2,1
759124,2,1
816106,2,1
782966,2,1
795125,2,1
771999,2,1
770092,2,1
853061,2,1
757932,2,1
763893,2,1
730037,2,1
793218,2,1
843048,2,1
# Hoverboard test (1048576 1 1001)
# time(ns),sleep_time(ns),repetitions
1471996,1001,1
1040935,1001,1
1007795,1001,1
966072,1001,1
925064,1001,1
849008,1001,1
993013,1001,1
877141,1001,1
856161,1001,1
838041,1001,1
842094,1001,1
823020,1001,1
813961,1001,1
820159,1001,1
801086,1001,1
919103,1001,1
763893,1001,1
773906,1001,1
772953,1001,1
808954,1001,1
789880,1001,1
773906,1001,1
756978,1001,1
786066,1001,1
768184,1001,1
747919,1001,1
777959,1001,1
746965,1001,1
746011,1001,1
796794,1001,1
# Hoverboard test (1048576 1 1000001)
# time(ns),sleep_time(ns),repetitions
2192020,1000001,1
1490116,1000001,1
1250982,1000001,1
1173019,1000001,1
1117944,1000001,1
1056909,1000001,1
1003980,1000001,1
937938,1000001,1
896930,1000001,1
864982,1000001,1
865936,1000001,1
850915,1000001,1
880956,1000001,1
803947,1000001,1
815868,1000001,1
806093,1000001,1
808000,1000001,1
831842,1000001,1
838041,1000001,1
803947,1000001,1
782966,1000001,1
746965,1000001,1
823020,1000001,1
761985,1000001,1
762939,1000001,1
768899,1000001,1
786066,1000001,1
787019,1000001,1
818014,1000001,1
792980,1000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
2007961,1000000001,1
1735925,1000000001,1
1588106,1000000001,1
1647949,1000000001,1
1644134,1000000001,1
1645088,1000000001,1
1734018,1000000001,1
1819133,1000000001,1
1834869,1000000001,1
2150058,1000000001,1
2544164,1000000001,1
2799034,1000000001,1
2865076,1000000001,1
3027915,1000000001,1
2830982,1000000001,1
2789974,1000000001,1
3109931,1000000001,1
2908945,1000000001,1
3005027,1000000001,1
3005027,1000000001,1
3026962,1000000001,1
3014087,1000000001,1
2806901,1000000001,1
2694845,1000000001,1
2970218,1000000001,1
2913951,1000000001,1
2999067,1000000001,1
2905845,1000000001,1
2894163,1000000001,1
2974033,1000000001,1
