# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 38.123727 58.284600 400.700737 19.061863 2.162608 2.735205 -nan -nan -nan
1025 10 81.653794 216.599387 945.084952 19.061863 14.283002 14.105758 2.227642 0.012455 -nan
2049 10 76.725509 231.251342 899.012358 19.061863 14.639697 14.461339 3.995853 0.007290 4.318563
3073 10 88.106563 237.095092 1011.410676 19.061863 14.482783 14.729278 5.967341 0.004406 4.884440
4097 10 94.339983 252.219940 1073.995832 19.061863 14.510667 15.024207 7.263963 0.003141 4.636630
5121 10 89.290410 281.360627 1033.881824 19.061863 15.664192 16.784123 7.646767 0.002861 4.074786
6145 10 91.882614 285.851502 1071.726202 19.061863 16.988896 17.486594 8.303386 0.002476 3.837977
7169 10 92.618083 281.624493 1075.100325 19.061863 16.546611 17.523433 9.146449 0.002065 3.841910
8193 10 104.114619 365.227278 1197.085542 19.061863 17.326595 21.680296 8.687676 0.002257 3.663903
9217 10 104.253326 376.847038 1198.244228 19.061863 17.301219 22.139995 8.571419 0.002299 3.434878
10241 10 104.303002 374.772887 1199.377753 19.061863 17.371970 22.286227 8.853461 0.002208 3.288058
11265 10 106.233285 387.431335 1213.170370 19.061863 16.759725 23.061891 9.171293 0.002115 3.187994
12289 10 106.984237 390.740944 1220.788922 19.061863 16.771839 23.231199 9.610028 0.001998 3.179228
13313 10 108.389369 398.095630 1235.097658 19.061863 16.800441 23.975111 10.069150 0.001886 3.203714
14337 10 110.848673 403.656805 1258.672009 19.061863 16.687253 23.919611 10.564328 0.001774 3.269933
15361 10 110.200945 402.618762 1256.163674 19.061863 17.128248 23.521921 11.112658 0.001659 3.390096
16385 10 141.629971 600.118545 1568.079798 19.061863 16.864454 44.558456 9.873055 0.001901 4.368351
17409 10 143.893795 608.049994 1594.234740 19.061863 17.255198 45.379994 9.068459 0.002049 4.643717
18433 10 144.278304 616.776910 1615.678812 19.061863 19.210642 45.035843 8.561340 0.002136 4.670842
19457 10 146.618255 625.057383 1638.080929 19.061863 19.099820 45.335388 8.301073 0.002178 4.584941
20481 10 146.807284 623.630961 1644.140159 19.061863 19.563036 44.965647 8.295983 0.002179 4.462673
21505 10 146.066654 623.766442 1638.552533 19.061863 19.765111 44.885942 8.460697 0.002155 4.370332
22529 10 152.343298 638.757745 1698.772576 19.061863 19.482177 46.040846 8.686541 0.002124 4.305965
23553 10 153.935523 652.261336 1718.896031 19.061863 19.948978 46.691713 8.931144 0.002091 4.257336
24577 10 153.889072 656.282544 1719.677950 19.061863 20.087469 47.006615 9.249777 0.002050 4.252667
25601 10 155.805807 657.282523 1743.180044 19.061863 20.569108 46.887465 9.661771 0.002000 4.315582
26625 10 159.473473 670.172579 1785.346913 19.061863 21.179131 47.182340 10.070072 0.001952 4.380606
27649 10 161.268275 676.037618 1804.272973 19.061863 21.287803 47.295944 10.509065 0.001903 4.473680
28673 10 161.007635 673.057035 1802.805261 19.061863 21.414324 47.593787 11.016627 0.001848 4.628631
29697 10 163.045012 677.983385 1823.065487 19.061863 21.401708 47.636352 11.539125 0.001793 4.796505
30721 10 163.577259 679.391097 1831.078870 19.061863 21.700698 47.820501 12.083770 0.001738 4.983657
31745 10 164.739170 686.801267 1841.956064 19.061863 21.618262 47.807303 12.609642 0.001687 5.150062
32769 10 165.566895 691.646328 1850.670077 19.061863 21.666792 48.228504 13.130842 0.001638 5.310777
33793 10 166.792676 695.203673 1863.658195 19.061863 21.747937 48.628914 13.655593 0.001590 5.473802
34817 10 168.271355 695.559150 1878.305634 19.061863 21.732453 48.773129 14.200930 0.001541 5.654980
35841 10 168.307484 687.677378 1876.858567 19.061863 21.531526 48.637864 14.799696 0.001490 5.886620
36865 10 168.575220 701.742893 1883.065535 19.061863 21.923704 48.846816 15.320990 0.001446 6.038945
37889 10 169.567458 706.630534 1891.713744 19.061863 21.782130 49.172463 15.827765 0.001405 6.178343
38913 10 169.364881 710.320135 1892.465341 19.061863 22.090726 49.831084 16.320210 0.001366 6.305951
39937 10 172.171275 712.402672 1925.824650 19.061863 22.679100 49.331150 16.822338 0.001327 6.442834
40961 10 170.989364 713.456844 1919.417041 19.061863 23.280378 49.400977 17.316153 0.001290 6.573136
41985 10 172.489333 718.171585 1925.950454 19.061863 22.339681 49.531787 17.796328 0.001255 6.692771
43009 10 172.483526 705.589910 1931.381309 19.061863 22.949561 49.666980 18.339205 0.001216 6.868995
44033 10 173.938335 710.175621 1944.599746 19.061863 22.801822 49.675787 18.860923 0.001180 7.024497
45057 10 178.062120 735.507355 1993.210352 19.061863 23.621016 51.164390 19.279217 0.001151 7.095805
46081 10 179.522090 743.900730 2007.193934 19.061863 23.552559 51.664795 19.670402 0.001125 7.150411
47105 10 178.835653 732.079039 1991.434905 19.061863 22.564264 51.682004 20.116853 0.001096 7.248827
48129 10 176.897628 725.649495 1977.103589 19.061863 23.125256 51.738074 20.581927 0.001066 7.363949
49153 10 180.273688 749.740609 2017.166630 19.061863 23.825528 51.723283 20.954833 0.001043 7.411106
50177 10 178.692430 745.074899 2000.226336 19.061863 23.700226 52.383132 21.344879 0.001019 7.472792
51201 10 180.491102 749.562548 2019.047882 19.061863 23.792984 52.460250 21.725537 0.000996 7.530163
52225 10 180.362718 749.370939 2021.960080 19.061863 24.259211 52.495877 22.108117 0.000974 7.591201
53249 10 181.863332 750.278662 2036.635260 19.061863 24.222438 52.779801 22.493706 0.000952 7.656561
54273 10 183.792324 771.353065 2057.251607 19.061863 24.369818 53.270455 22.804400 0.000934 7.674651
55297 10 181.326569 757.877215 2031.385691 19.061863 24.235556 52.959083 23.162794 0.000915 7.725933
56321 10 184.604566 755.779839 2059.239308 19.061863 23.688183 53.314318 23.542097 0.000894 7.794222
57345 10 185.560675 755.475974 2069.024912 19.061863 23.713129 55.423213 23.924280 0.000874 7.866382
58369 10 184.403925 783.091531 2067.704294 19.061863 24.851672 55.468525 24.199165 0.000859 7.870819
59393 10 186.785166 777.965831 2090.358019 19.061863 24.722929 55.156617 24.506653 0.000843 7.896616
60417 10 187.045805 779.427736 2092.055403 19.061863 24.621928 55.155898 24.812418 0.000828 7.923487
61441 10 186.035504 773.493666 2082.867851 19.061863 24.723646 54.018805 25.137375 0.000812 7.964816
62465 10 186.803875 778.541948 2088.738052 19.061863 24.522145 56.042112 25.447806 0.000797 7.998459
63489 10 186.734199 787.883690 2089.323846 19.061863 24.664651 55.462272 25.727338 0.000783 8.014912
64513 10 188.383842 786.198564 2108.746670 19.061863 24.989805 56.999493 26.020591 0.000769 8.041665
65537 10 188.240619 798.704111 2107.734433 19.061863 25.036471 55.550932 26.273765 0.000758 8.046756
66561 10 190.293480 798.786690 2136.403517 19.061863 25.940968 55.695430 26.537071 0.000746 8.059450
67585 10 192.126345 799.138941 2144.621411 19.061863 24.817551 57.419024 26.807729 0.000733 8.078287
68609 10 194.846934 801.090514 2170.340879 19.061863 24.652393 57.990243 27.082538 0.000721 8.101381
69633 10 193.533413 800.353110 2158.914664 19.061863 24.842281 57.624743 27.356661 0.000709 8.125708
70657 10 194.817257 811.006437 2172.875020 19.061863 24.966938 58.132820 27.603085 0.000699 8.135228
71681 10 194.935320 811.785776 2178.974249 19.061863 25.513450 59.272716 27.849919 0.000688 8.146626
72705 10 197.832034 833.344685 2215.330915 19.061863 26.334509 58.799088 28.043570 0.000680 8.132241
73729 10 197.432687 825.862904 2218.776651 19.061863 27.161086 58.237171 28.263273 0.000671 8.132212
74753 10 196.697864 830.382165 2207.255599 19.061863 26.697440 58.669423 28.471168 0.000663 8.127654
75777 10 197.931387 820.120442 2211.952921 19.061863 25.848784 58.545044 28.715626 0.000653 8.144708
76801 10 197.424300 833.389200 2209.051691 19.061863 26.089854 58.730491 28.922569 0.000645 8.142351
77825 10 196.668832 830.587968 2203.630512 19.061863 26.326910 58.608278 29.138546 0.000636 8.146173
78849 10 199.249424 848.333407 2235.873716 19.061863 27.042164 59.547803 29.315495 0.000629 8.132032
79873 10 200.708748 845.790234 2251.686292 19.061863 27.177645 59.691301 29.508037 0.000622 8.126600
80897 10 202.739029 859.517691 2268.636909 19.061863 26.805180 59.359898 29.672854 0.000616 8.109644
81921 10 201.216480 844.679934 2254.377204 19.061863 26.912489 59.763912 29.877915 0.000608 8.113496
82945 10 203.921585 847.354072 2277.049638 19.061863 26.425976 59.759089 30.085465 0.000601 8.119947
83969 10 201.591311 858.479648 2253.719798 19.061863 26.422966 60.322603 30.260328 0.000594 8.110832
84993 10 201.150675 863.349870 2252.563048 19.061863 26.784033 60.278235 30.425426 0.000588 8.098386
86017 10 203.168698 866.617544 2268.507234 19.061863 26.313362 60.689678 30.591543 0.000582 8.087556
87041 10 204.835115 861.724097 2282.103082 19.061863 25.972437 60.658986 30.777962 0.000576 8.087824
88065 10 202.466777 866.113039 2260.151923 19.061863 26.164906 59.980957 30.950310 0.000570 8.082080
89089 10 203.192568 863.036328 2266.878881 19.061863 26.105911 60.277646 31.135161 0.000564 8.083776
90113 10 208.325365 875.555424 2323.249327 19.061863 26.666186 61.962652 31.304547 0.000558 8.078630
91137 10 207.433771 886.893254 2314.926273 19.061863 26.732063 62.069967 31.447787 0.000553 8.062593
92161 10 207.950534 874.797375 2315.292072 19.061863 26.198526 61.989177 31.625153 0.000547 8.063689
93185 10 211.840131 878.663101 2353.622246 19.061863 26.135660 62.153948 31.804915 0.000542 8.067037
