#size	rtt
1	20.922042
1	19.965615
1	20.654629
1	18.731453
1	19.102089
1	19.744008
1	19.751104
1	19.013059
1	19.789813
1	18.480814
1	18.531458
1	18.880804
1	18.189532
1	18.339528
1	19.680138
1	18.754033
1	19.171442
1	21.398804
1	19.149507
1	21.275259
1	18.687261
1	19.856908
1	18.852740
1	20.019807
1	19.993356
1	19.326277
1	19.279504
1	21.301387
1	18.896933
1	19.495304
1	19.150475
1	19.238214
1	19.344341
1	19.403371
1	19.467563
1	17.875024
1	18.157920
1	18.928867
1	19.116927
1	22.025562
1	19.945293
1	19.892391
1	21.268807
1	19.634978
1	17.943409
1	23.082631
1	20.437216
1	21.141714
1	19.543690
1	19.345953
1	19.149830
1	20.461731
1	19.348211
1	18.183403
1	19.297245
1	18.595650
1	18.701777
1	19.455951
1	19.111443
1	19.793039
1	19.006285
1	19.251440
1	17.781155
1	19.304987
1	18.254369
1	19.366921
1	20.935913
1	19.835618
1	19.418532
1	18.785323
1	20.809464
1	19.648204
1	17.787607
1	20.715596
1	17.897281
1	19.115637
1	20.144643
1	19.567883
1	18.862740
1	19.584657
1	18.519201
1	18.444686
1	19.238859
1	19.324019
1	19.109831
1	18.389204
1	18.240498
1	18.122114
1	19.258859
1	21.058167
1	18.983382
1	27.139946
1	19.898842
1	19.749491
1	18.682100
1	18.761130
1	18.430493
1	19.401113
1	17.926635
1	18.208886
1	21.507511
1	18.836934
1	19.025639
1	19.129185
1	18.818548
1	20.656242
1	20.212383
1	18.412107
1	17.925345
1	19.273052
1	19.165313
1	19.099508
1	19.472079
1	19.487885
1	18.703389
1	18.362430
1	19.539819
1	19.807555
1	18.712099
1	21.989756
1	19.551432
1	19.813683
1	19.699493
1	19.389823
1	19.510465
1	19.254020
1	21.607831
1	18.637585
1	21.115585
1	18.542426
1	19.092089
1	18.833063
1	19.482402
1	19.633365
1	19.405307
1	18.169532
1	18.695325
1	21.087844
1	18.385978
1	19.240472
1	18.307271
1	20.810754
1	19.389501
1	20.181093
1	19.392081
1	18.597263
1	19.218860
1	19.695622
1	18.622101
1	18.799516
1	18.246304
1	19.283052
1	19.303374
1	18.596618
1	20.949783
1	18.812741
1	19.204022
1	18.661132
1	17.761156
1	18.749195
1	18.263401
1	21.737827
1	19.363695
1	18.177919
1	18.598553
1	19.621108
1	18.282110
1	18.970479
1	18.625972
1	19.243053
1	21.846534
1	19.300793
1	20.579470
1	18.306625
1	19.986905
1	19.329180
1	18.573715
1	18.862418
1	18.640810
1	18.557909
1	19.044026
1	18.749840
1	18.903707
1	19.659494
1	18.515652
1	18.460492
1	19.450789
1	18.772742
1	18.591779
1	19.042090
1	18.073406
1	17.337618
1	18.892739
1	21.199777
1	18.718873
1	19.027575
1	19.697235
1	18.177274
1	18.510814
1	18.278884
1	18.453073
1	24.420016
1	19.007253
1	18.805000
1	23.229079
1	19.720137
1	19.611753
1	19.547561
1	18.823064
1	18.854998
1	18.006956
1	19.871101
1	20.142385
1	17.723737
1	18.791452
1	18.673390
1	22.322006
1	20.851076
1	19.075960
1	18.120179
1	19.397565
1	18.610811
1	18.092437
1	19.170152
1	20.372701
1	18.321786
1	19.809167
1	18.730163
1	17.966312
1	18.626940
1	19.270472
1	18.658229
1	18.806613
1	19.069186
1	18.891449
1	25.418700
1	18.791452
1	18.125017
1	20.173029
1	18.911449
1	18.924351
1	18.805645
1	18.660165
1	19.118540
1	18.637907
1	19.998195
1	18.762743
1	24.021962
1	18.915642
1	17.935022
1	19.249182
1	19.233376
1	18.220176
1	19.160152
1	19.076928
1	18.991446
1	18.165016
1	18.765968
1	19.109508
1	19.226279
1	18.566941
1	19.105960
1	18.439525
1	20.610437
1	17.783413
1	17.675996
1	18.482105
1	18.460492
1	18.132114
1	19.618527
1	18.232111
1	18.429848
1	19.535626
1	19.060800
1	18.704357
1	22.320070
1	18.753711
1	19.359824
1	19.166281
1	20.118514
1	21.047845
1	18.538877
1	19.230150
1	19.201764
1	18.554361
1	18.456299
1	18.627585
1	18.642423
1	18.999188
1	19.594657
1	18.930480
1	18.711131
1	17.928893
1	17.708254
1	20.094644
1	18.867256
1	19.562400
1	19.163378
1	19.107250
1	19.341115
1	20.495601
1	22.436842
1	18.877578
1	20.862043
1	18.837257
1	18.518233
1	19.632720
1	18.289529
1	19.132733
1	21.297516
1	18.904352
1	17.946957
1	22.590709
1	19.444661
1	19.637881
1	19.037897
1	17.863411
1	19.065316
1	19.075315
1	19.978195
1	17.990505
1	19.731750
1	20.524633
1	19.296922
1	19.186925
1	19.680138
1	18.765323
1	24.438080
1	20.324961
1	18.854353
1	18.972737
1	18.807903
1	17.773091
1	20.642049
1	19.811103
1	18.782097
1	21.467834
1	22.411681
1	19.248214
1	21.305580
1	19.188216
1	18.133404
1	19.313374
1	18.356624
1	19.234021
1	19.207247
1	21.086231
1	19.197570
1	18.411461
1	19.864972
1	19.968518
1	18.479524
1	18.378236
1	18.020181
1	18.341463
1	19.135959
1	18.013407
1	18.401462
1	19.666268
1	26.640927
1	19.755943
1	19.108863
1	18.496943
1	17.955022
1	18.302109
1	17.228266
1	17.944054
1	21.759117
1	18.325657
1	18.593715
1	18.028245
1	17.700835
1	18.158565
1	18.936932
1	20.100450
1	19.263375
1	20.760433
1	20.406571
1	18.788226
1	18.872095
1	19.023381
1	20.917848
1	18.436622
1	21.372998
1	19.770459
1	19.194667
1	18.118243
1	17.923732
1	18.466299
1	18.063406
1	19.766910
1	18.298884
1	19.780136
1	18.657262
1	17.878894
1	19.018220
1	19.603044
1	19.834973
1	18.701454
1	18.936609
1	18.679519
1	19.416919
1	19.142410
1	18.182758
1	22.547807
1	19.810780
1	18.171145
1	18.283723
1	18.037278
1	17.579547
1	18.879191
1	18.321464
1	18.164048
1	23.470686
1	19.029510
1	18.269207
1	19.109508
1	17.947602
1	18.782742
1	18.975963
1	20.035613
1	18.720163
1	19.463370
1	19.029510
1	22.563935
1	22.309103
1	18.668874
1	18.703389
1	20.709789
1	19.946906
1	19.168216
1	20.442054
1	20.012388
1	22.768123
1	18.805645
1	18.133081
1	18.420816
1	17.438261
1	18.105985
1	18.286303
1	18.205338
1	21.004620
1	18.170177
1	18.116630
1	18.455331
1	17.975021
1	23.262949
1	19.228215
1	18.514039
1	17.928893
1	19.020478
1	19.317890
1	18.728227
1	18.288884
1	17.729543
1	18.108889
1	19.823683
1	20.651726
1	18.955318
1	24.040994
1	18.954996
1	18.592747
1	18.765001
1	18.541781
1	18.574360
1	18.826935
1	19.078218
1	19.395630
1	20.543019
1	19.090799
1	18.889836
1	18.426300
1	18.751130
1	17.765994
1	18.583715
1	18.137920
1	18.239853
1	18.206305
1	20.662049
1	19.954325
1	20.400442
1	20.477537
1	18.243401
1	22.202654
1	19.574980
1	18.876288
1	18.946609
1	21.102682
1	18.710809
1	18.741775
1	18.363398
1	18.394365
1	17.892765
1	18.574038
1	18.381462
1	18.503072
1	22.325554
1	19.264343
1	18.671777
1	18.777581
1	19.537561
1	24.421629
1	19.730782
1	18.023407
1	17.619546
1	18.967254
1	19.042735
1	20.347541
1	19.576593
1	18.519201
1	18.652100
1	19.512723
1	18.679519
1	18.513717
1	18.228885
1	19.096928
1	23.087793
1	18.109211
1	18.587908
1	19.284665
1	21.405900
