#size	rtt
8	43.824610
8	54.815726
8	41.556428
8	39.494623
8	40.271489
8	34.951849
8	38.592546
8	39.222980
8	37.348239
8	43.095706
8	37.197241
8	34.880481
8	34.416107
8	37.270660
8	39.573243
8	39.336331
8	38.086910
8	37.282811
8	40.812875
8	38.503842
8	41.791844
8	40.934382
8	38.895435
8	43.931700
8	47.252173
8	34.318327
8	37.477643
8	37.294926
8	36.947405
8	39.211168
8	39.609146
8	38.970466
8	37.967626
8	36.411268
8	36.065162
8	38.897758
8	38.277921
8	33.228043
8	36.938877
8	36.781685
8	37.099399
8	35.835847
8	43.151769
8	33.446451
8	39.764107
8	44.989077
8	37.602942
8	36.931127
8	38.449494
8	40.544204
8	40.753530
8	41.246444
8	37.195158
8	37.726369
8	38.152706
8	36.124833
8	38.218816
8	39.450476
8	34.415194
8	43.772632
8	39.005202
8	37.391459
8	38.696547
8	37.259492
8	38.476156
8	39.038717
8	37.348192
8	38.254899
8	39.963496
8	36.622288
8	40.179281
8	36.028238
8	39.847694
8	34.679006
8	35.398794
8	38.123978
8	35.646659
8	38.432950
8	36.011335
8	37.840083
8	35.054757
8	35.429733
8	34.446585
8	41.154758
8	35.349748
8	44.563205
8	44.155166
8	36.185760
8	37.964198
8	37.903408
8	36.642752
8	35.500833
8	38.443606
8	37.991175
8	35.905382
8	40.458444
8	37.530090
8	36.124767
8	35.047145
8	36.322512
8	33.815214
8	34.107663
8	35.741432
8	36.748318
8	39.929652
8	35.119874
8	37.043709
8	40.146409
8	35.273021
8	37.564458
8	38.354758
8	38.150994
8	34.017892
8	37.972672
8	35.907441
8	39.178407
8	34.026047
8	35.378127
8	40.619936
8	34.390341
8	35.802117
8	38.378151
8	46.307632
8	33.519502
8	33.606598
8	39.360015
8	37.761191
8	40.261880
8	38.418358
8	38.568043
8	36.686895
8	40.097046
8	38.357387
8	38.631543
8	38.998414
8	34.030572
8	36.182851
8	38.457966
8	36.167176
8	38.327821
8	36.488221
8	36.355313
8	36.309613
8	41.319764
8	39.671333
8	40.397361
8	35.335797
8	36.801276
8	37.123083
8	37.116882
8	36.893558
8	35.807071
8	37.123740
8	35.804793
8	37.075040
8	36.738615
8	35.753975
8	37.604140
8	35.037242
8	35.241544
8	35.070009
8	35.859948
8	37.885145
8	39.178468
8	36.924733
8	46.205779
